_model	model.x	model.y	LEMMAPATH	LEMMAREL	bound	foc_base	foc_pmi	foc_pos	foc_win	soc_length	soc_pos	pam_cluster	medoid
destroy.LEMMAPATH2.PPMIno.LENGTH5000.SOCPOSall	-1.601219323955975	-1.475584904037207	LEMMAPATH2	NA	NA	LEMMAPATH	no	NA	NA	5000	all	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATH2.PPMIno.LENGTH5000.SOCPOSnav	-1.5739969240099256	-1.4859817351948148	LEMMAPATH2	NA	NA	LEMMAPATH	no	NA	NA	5000	nav	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATH2.PPMIno.LENGTHFOC.SOCPOSall	-1.4063920252535156	-0.6184861926955918	LEMMAPATH2	NA	NA	LEMMAPATH	no	NA	NA	FOC	all	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATH2.PPMIno.LENGTHFOC.SOCPOSnav	-1.4344134318734987	-0.6753228704964641	LEMMAPATH2	NA	NA	LEMMAPATH	no	NA	NA	FOC	nav	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATH2.PPMIselection.LENGTH5000.SOCPOSall	-1.0913873847788769	-1.283320756970297	LEMMAPATH2	NA	NA	LEMMAPATH	selection	NA	NA	5000	all	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATH2.PPMIselection.LENGTH5000.SOCPOSnav	-1.1046413527777694	-1.3268740496194322	LEMMAPATH2	NA	NA	LEMMAPATH	selection	NA	NA	5000	nav	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATH2.PPMIselection.LENGTHFOC.SOCPOSall	-0.9197940053300115	-0.5609159251391455	LEMMAPATH2	NA	NA	LEMMAPATH	selection	NA	NA	FOC	all	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATH2.PPMIselection.LENGTHFOC.SOCPOSnav	-0.9608476523349198	-0.6301438720292447	LEMMAPATH2	NA	NA	LEMMAPATH	selection	NA	NA	FOC	nav	2	destroy.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATH2.PPMIweight.LENGTH5000.SOCPOSall	-0.6635116457122253	-0.64959720293593	LEMMAPATH2	NA	NA	LEMMAPATH	weight	NA	NA	5000	all	2	destroy.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATH2.PPMIweight.LENGTH5000.SOCPOSnav	-0.675837905058867	-0.7204396583183993	LEMMAPATH2	NA	NA	LEMMAPATH	weight	NA	NA	5000	nav	2	destroy.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATH2.PPMIweight.LENGTHFOC.SOCPOSall	-0.6217671266575046	-0.37026164486645696	LEMMAPATH2	NA	NA	LEMMAPATH	weight	NA	NA	FOC	all	2	destroy.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATH2.PPMIweight.LENGTHFOC.SOCPOSnav	-0.6729212443598506	-0.40631401268077094	LEMMAPATH2	NA	NA	LEMMAPATH	weight	NA	NA	FOC	nav	2	destroy.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATH3.PPMIno.LENGTH5000.SOCPOSall	-2.037430671522271	-0.20282545838070898	LEMMAPATH3	NA	NA	LEMMAPATH	no	NA	NA	5000	all	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATH3.PPMIno.LENGTH5000.SOCPOSnav	-1.9235854300436495	-0.28114566008474207	LEMMAPATH3	NA	NA	LEMMAPATH	no	NA	NA	5000	nav	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATH3.PPMIno.LENGTHFOC.SOCPOSall	-1.481163471976899	0.04201158360299862	LEMMAPATH3	NA	NA	LEMMAPATH	no	NA	NA	FOC	all	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATH3.PPMIno.LENGTHFOC.SOCPOSnav	-1.4373849812718626	0.026345542669299032	LEMMAPATH3	NA	NA	LEMMAPATH	no	NA	NA	FOC	nav	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSall	-1.3952417793420315	-0.25328106188190014	LEMMAPATH3	NA	NA	LEMMAPATH	selection	NA	NA	5000	all	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATH3.PPMIselection.LENGTH5000.SOCPOSnav	-1.365417970397032	-0.2785594615363041	LEMMAPATH3	NA	NA	LEMMAPATH	selection	NA	NA	5000	nav	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATH3.PPMIselection.LENGTHFOC.SOCPOSall	-0.9639910130681522	-0.05522776325686008	LEMMAPATH3	NA	NA	LEMMAPATH	selection	NA	NA	FOC	all	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATH3.PPMIselection.LENGTHFOC.SOCPOSnav	-0.9696714338243799	-0.06635331401696037	LEMMAPATH3	NA	NA	LEMMAPATH	selection	NA	NA	FOC	nav	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATH3.PPMIweight.LENGTH5000.SOCPOSall	-0.6376681692932799	-0.07099792991510934	LEMMAPATH3	NA	NA	LEMMAPATH	weight	NA	NA	5000	all	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATH3.PPMIweight.LENGTH5000.SOCPOSnav	-0.6426028371240211	-0.09042864449173334	LEMMAPATH3	NA	NA	LEMMAPATH	weight	NA	NA	5000	nav	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSall	-0.5486035680195046	0.03414119317546943	LEMMAPATH3	NA	NA	LEMMAPATH	weight	NA	NA	FOC	all	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATH3.PPMIweight.LENGTHFOC.SOCPOSnav	-0.5667587192707426	0.0404399213351993	LEMMAPATH3	NA	NA	LEMMAPATH	weight	NA	NA	FOC	nav	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSall	-2.037430671522271	-0.20282545838070898	LEMMAPATHweight	NA	NA	LEMMAPATH	no	NA	NA	5000	all	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATHweight.PPMIno.LENGTH5000.SOCPOSnav	-1.9235854300436495	-0.28114566008474207	LEMMAPATHweight	NA	NA	LEMMAPATH	no	NA	NA	5000	nav	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSall	-1.481163471976899	0.04201158360299862	LEMMAPATHweight	NA	NA	LEMMAPATH	no	NA	NA	FOC	all	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATHweight.PPMIno.LENGTHFOC.SOCPOSnav	-1.4373849812718626	0.026345542669299032	LEMMAPATHweight	NA	NA	LEMMAPATH	no	NA	NA	FOC	nav	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSall	-1.3952417793420315	-0.25328106188190014	LEMMAPATHweight	NA	NA	LEMMAPATH	selection	NA	NA	5000	all	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATHweight.PPMIselection.LENGTH5000.SOCPOSnav	-1.365417970397032	-0.2785594615363041	LEMMAPATHweight	NA	NA	LEMMAPATH	selection	NA	NA	5000	nav	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall	-0.9639910130681522	-0.05522776325686008	LEMMAPATHweight	NA	NA	LEMMAPATH	selection	NA	NA	FOC	all	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSnav	-0.9696714338243799	-0.06635331401696037	LEMMAPATHweight	NA	NA	LEMMAPATH	selection	NA	NA	FOC	nav	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSall	-0.63766816929328	-0.07099792991510936	LEMMAPATHweight	NA	NA	LEMMAPATH	weight	NA	NA	5000	all	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATHweight.PPMIweight.LENGTH5000.SOCPOSnav	-0.6426028371240211	-0.09042864449173334	LEMMAPATHweight	NA	NA	LEMMAPATH	weight	NA	NA	5000	nav	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSall	-0.5486035680195046	0.03414119317546943	LEMMAPATHweight	NA	NA	LEMMAPATH	weight	NA	NA	FOC	all	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAPATHweight.PPMIweight.LENGTHFOC.SOCPOSnav	-0.5667587192707426	0.0404399213351993	LEMMAPATHweight	NA	NA	LEMMAPATH	weight	NA	NA	FOC	nav	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSall	-2.433532536848401	-1.1599325745615774	NA	LEMMAREL1	NA	LEMMAREL	no	NA	NA	5000	all	2	destroy.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAREL1.PPMIno.LENGTH5000.SOCPOSnav	-2.381095181230132	-1.1545804340303338	NA	LEMMAREL1	NA	LEMMAREL	no	NA	NA	5000	nav	2	destroy.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSall	-2.178814510538366	-0.9824262050690059	NA	LEMMAREL1	NA	LEMMAREL	no	NA	NA	FOC	all	2	destroy.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAREL1.PPMIno.LENGTHFOC.SOCPOSnav	-2.199364996810197	-1.0349050343458497	NA	LEMMAREL1	NA	LEMMAREL	no	NA	NA	FOC	nav	2	destroy.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSall	-1.321770540704349	-0.8696331179155505	NA	LEMMAREL1	NA	LEMMAREL	selection	NA	NA	5000	all	2	destroy.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAREL1.PPMIselection.LENGTH5000.SOCPOSnav	-1.3077977778214858	-0.8682348785543396	NA	LEMMAREL1	NA	LEMMAREL	selection	NA	NA	5000	nav	2	destroy.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSall	-1.150765985059354	-0.6544518110089084	NA	LEMMAREL1	NA	LEMMAREL	selection	NA	NA	FOC	all	2	destroy.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAREL1.PPMIselection.LENGTHFOC.SOCPOSnav	-1.2049995685350943	-0.702327431831991	NA	LEMMAREL1	NA	LEMMAREL	selection	NA	NA	FOC	nav	2	destroy.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSall	-1.0163525345421258	-0.761102183019545	NA	LEMMAREL1	NA	LEMMAREL	weight	NA	NA	5000	all	2	destroy.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAREL1.PPMIweight.LENGTH5000.SOCPOSnav	-0.989314675208788	-0.7577497580929157	NA	LEMMAREL1	NA	LEMMAREL	weight	NA	NA	5000	nav	2	destroy.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSall	-1.0428192702173398	-0.5837020303799988	NA	LEMMAREL1	NA	LEMMAREL	weight	NA	NA	FOC	all	2	destroy.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAREL1.PPMIweight.LENGTHFOC.SOCPOSnav	-1.0712766909038511	-0.6536148694808772	NA	LEMMAREL1	NA	LEMMAREL	weight	NA	NA	FOC	nav	2	destroy.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSall	-1.3819936379342361	-1.2221889701362374	NA	LEMMAREL2	NA	LEMMAREL	no	NA	NA	5000	all	2	destroy.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAREL2.PPMIno.LENGTH5000.SOCPOSnav	-1.3355887820781591	-1.212895716869896	NA	LEMMAREL2	NA	LEMMAREL	no	NA	NA	5000	nav	2	destroy.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSall	-1.0914757875987768	-0.7853297915441779	NA	LEMMAREL2	NA	LEMMAREL	no	NA	NA	FOC	all	2	destroy.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAREL2.PPMIno.LENGTHFOC.SOCPOSnav	-1.1636246952499623	-0.8010256736126604	NA	LEMMAREL2	NA	LEMMAREL	no	NA	NA	FOC	nav	2	destroy.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSall	-0.9179836353747797	-1.1158220297669288	NA	LEMMAREL2	NA	LEMMAREL	selection	NA	NA	5000	all	2	destroy.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAREL2.PPMIselection.LENGTH5000.SOCPOSnav	-0.9114367605707746	-1.1220214210477626	NA	LEMMAREL2	NA	LEMMAREL	selection	NA	NA	5000	nav	2	destroy.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall	-0.723869553431563	-0.5878488515483564	NA	LEMMAREL2	NA	LEMMAREL	selection	NA	NA	FOC	all	2	destroy.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSnav	-0.8129449045505148	-0.6660934476923793	NA	LEMMAREL2	NA	LEMMAREL	selection	NA	NA	FOC	nav	2	destroy.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSall	-0.6918335871964485	-0.8276168969839325	NA	LEMMAREL2	NA	LEMMAREL	weight	NA	NA	5000	all	2	destroy.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAREL2.PPMIweight.LENGTH5000.SOCPOSnav	-0.7000182054426402	-0.8645795378154696	NA	LEMMAREL2	NA	LEMMAREL	weight	NA	NA	5000	nav	2	destroy.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSall	-0.6255021879974553	-0.5397584603109	NA	LEMMAREL2	NA	LEMMAREL	weight	NA	NA	FOC	all	2	destroy.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall
destroy.LEMMAREL2.PPMIweight.LENGTHFOC.SOCPOSnav	-0.6947144786058465	-0.6096728381190487	NA	LEMMAREL2	NA	LEMMAREL	weight	NA	NA	FOC	nav	2	destroy.LEMMAREL2.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound10-10all.PPMIno.LENGTH5000.SOCPOSall	-1.7702029247867526	1.1063988982229982	NA	NA	TRUE	BOW	no	all	10-10	5000	all	3	destroy.bound5-5all.PPMIno.LENGTHFOC.SOCPOSall
destroy.bound10-10all.PPMIno.LENGTH5000.SOCPOSnav	-1.6173579366977886	0.9766813328237225	NA	NA	TRUE	BOW	no	all	10-10	5000	nav	3	destroy.bound5-5all.PPMIno.LENGTHFOC.SOCPOSall
destroy.bound10-10all.PPMIno.LENGTHFOC.SOCPOSall	-1.2136537089937327	0.9699323131994204	NA	NA	TRUE	BOW	no	all	10-10	FOC	all	3	destroy.bound5-5all.PPMIno.LENGTHFOC.SOCPOSall
destroy.bound10-10all.PPMIno.LENGTHFOC.SOCPOSnav	-1.1445404891319242	0.9262984844333314	NA	NA	TRUE	BOW	no	all	10-10	FOC	nav	3	destroy.bound5-5all.PPMIno.LENGTHFOC.SOCPOSall
destroy.bound10-10all.PPMIselection.LENGTH5000.SOCPOSall	-1.0322555604739225	0.5830371788619729	NA	NA	TRUE	BOW	selection	all	10-10	5000	all	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound10-10all.PPMIselection.LENGTH5000.SOCPOSnav	-0.982106448676997	0.5197535867725944	NA	NA	TRUE	BOW	selection	all	10-10	5000	nav	1	destroy.LEMMAPATHweight.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound10-10all.PPMIselection.LENGTHFOC.SOCPOSall	-0.6626096008261487	0.5342981333682515	NA	NA	TRUE	BOW	selection	all	10-10	FOC	all	4	destroy.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound10-10all.PPMIselection.LENGTHFOC.SOCPOSnav	-0.6531838833924931	0.5324681801788348	NA	NA	TRUE	BOW	selection	all	10-10	FOC	nav	4	destroy.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound10-10all.PPMIweight.LENGTH5000.SOCPOSall	-0.3788374145025167	0.41766857682468317	NA	NA	TRUE	BOW	weight	all	10-10	5000	all	5	destroy.nobound10-10all.PPMIweight.LENGTHFOC.SOCPOSall
destroy.bound10-10all.PPMIweight.LENGTH5000.SOCPOSnav	-0.39013970763623074	0.42150512057334494	NA	NA	TRUE	BOW	weight	all	10-10	5000	nav	5	destroy.nobound10-10all.PPMIweight.LENGTHFOC.SOCPOSall
destroy.bound10-10all.PPMIweight.LENGTHFOC.SOCPOSall	-0.3491996303498147	0.4752311418637855	NA	NA	TRUE	BOW	weight	all	10-10	FOC	all	5	destroy.nobound10-10all.PPMIweight.LENGTHFOC.SOCPOSall
destroy.bound10-10all.PPMIweight.LENGTHFOC.SOCPOSnav	-0.3671302958798661	0.5004195416749541	NA	NA	TRUE	BOW	weight	all	10-10	FOC	nav	5	destroy.nobound10-10all.PPMIweight.LENGTHFOC.SOCPOSall
destroy.bound10-10lex.PPMIno.LENGTH5000.SOCPOSall	0.1865786143299098	1.4298291329648656	NA	NA	TRUE	BOW	no	lex	10-10	5000	all	4	destroy.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound10-10lex.PPMIno.LENGTH5000.SOCPOSnav	0.16189202039284115	1.2659602421955745	NA	NA	TRUE	BOW	no	lex	10-10	5000	nav	4	destroy.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound10-10lex.PPMIno.LENGTHFOC.SOCPOSall	0.02041621707537675	1.0831278713536925	NA	NA	TRUE	BOW	no	lex	10-10	FOC	all	4	destroy.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound10-10lex.PPMIno.LENGTHFOC.SOCPOSnav	-0.0012931257792410198	1.0802285647077956	NA	NA	TRUE	BOW	no	lex	10-10	FOC	nav	4	destroy.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound10-10lex.PPMIselection.LENGTH5000.SOCPOSall	0.07257563169425636	0.8822854872401273	NA	NA	TRUE	BOW	selection	lex	10-10	5000	all	4	destroy.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound10-10lex.PPMIselection.LENGTH5000.SOCPOSnav	0.08286703105232358	0.8184462550386938	NA	NA	TRUE	BOW	selection	lex	10-10	5000	nav	4	destroy.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall	-0.011710399748365557	0.7333652870581514	NA	NA	TRUE	BOW	selection	lex	10-10	FOC	all	4	destroy.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSnav	-0.02255637979436205	0.7459765857930412	NA	NA	TRUE	BOW	selection	lex	10-10	FOC	nav	4	destroy.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound10-10lex.PPMIweight.LENGTH5000.SOCPOSall	-0.0206499550646698	0.6576789260408136	NA	NA	TRUE	BOW	weight	lex	10-10	5000	all	4	destroy.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound10-10lex.PPMIweight.LENGTH5000.SOCPOSnav	-0.014331838475836802	0.658200747696509	NA	NA	TRUE	BOW	weight	lex	10-10	5000	nav	4	destroy.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound10-10lex.PPMIweight.LENGTHFOC.SOCPOSall	-0.09183003027100958	0.7030055174196939	NA	NA	TRUE	BOW	weight	lex	10-10	FOC	all	4	destroy.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound10-10lex.PPMIweight.LENGTHFOC.SOCPOSnav	-0.10446019576626595	0.7262424524658391	NA	NA	TRUE	BOW	weight	lex	10-10	FOC	nav	4	destroy.bound10-10lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound3-3all.PPMIno.LENGTH5000.SOCPOSall	1.1730704871987396	-1.8623230180380732	NA	NA	TRUE	BOW	no	all	3-3	5000	all	6	destroy.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSnav
destroy.bound3-3all.PPMIno.LENGTH5000.SOCPOSnav	1.115941028549474	-1.8348817991316761	NA	NA	TRUE	BOW	no	all	3-3	5000	nav	6	destroy.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSnav
destroy.bound3-3all.PPMIno.LENGTHFOC.SOCPOSall	1.0808003480907218	-1.2612677297959738	NA	NA	TRUE	BOW	no	all	3-3	FOC	all	3	destroy.bound5-5all.PPMIno.LENGTHFOC.SOCPOSall
destroy.bound3-3all.PPMIno.LENGTHFOC.SOCPOSnav	1.051005669532614	-1.2242064883696957	NA	NA	TRUE	BOW	no	all	3-3	FOC	nav	3	destroy.bound5-5all.PPMIno.LENGTHFOC.SOCPOSall
destroy.bound3-3all.PPMIselection.LENGTH5000.SOCPOSall	1.0916094530760045	-1.475798309678255	NA	NA	TRUE	BOW	selection	all	3-3	5000	all	6	destroy.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSnav
destroy.bound3-3all.PPMIselection.LENGTH5000.SOCPOSnav	1.0556548817771827	-1.5054996512012315	NA	NA	TRUE	BOW	selection	all	3-3	5000	nav	6	destroy.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSnav
destroy.bound3-3all.PPMIselection.LENGTHFOC.SOCPOSall	0.9653049361534639	-0.9515669664624791	NA	NA	TRUE	BOW	selection	all	3-3	FOC	all	7	destroy.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound3-3all.PPMIselection.LENGTHFOC.SOCPOSnav	0.9314151473186795	-0.9592528825153782	NA	NA	TRUE	BOW	selection	all	3-3	FOC	nav	6	destroy.nobound3-3all.PPMIselection.LENGTH5000.SOCPOSnav
destroy.bound3-3all.PPMIweight.LENGTH5000.SOCPOSall	1.0158777593298012	-0.6555649040700703	NA	NA	TRUE	BOW	weight	all	3-3	5000	all	7	destroy.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound3-3all.PPMIweight.LENGTH5000.SOCPOSnav	1.0362229238623883	-0.6946175620044482	NA	NA	TRUE	BOW	weight	all	3-3	5000	nav	7	destroy.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound3-3all.PPMIweight.LENGTHFOC.SOCPOSall	0.9100552126123705	-0.45725241617187384	NA	NA	TRUE	BOW	weight	all	3-3	FOC	all	7	destroy.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound3-3all.PPMIweight.LENGTHFOC.SOCPOSnav	0.9147118242415272	-0.4824328548851652	NA	NA	TRUE	BOW	weight	all	3-3	FOC	nav	7	destroy.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound3-3lex.PPMIno.LENGTH5000.SOCPOSall	2.002270099379049	0.025009204372166506	NA	NA	TRUE	BOW	no	lex	3-3	5000	all	7	destroy.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound3-3lex.PPMIno.LENGTH5000.SOCPOSnav	1.9620695310101428	0.03786196772202235	NA	NA	TRUE	BOW	no	lex	3-3	5000	nav	7	destroy.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound3-3lex.PPMIno.LENGTHFOC.SOCPOSall	1.674558786507561	0.12004631352629201	NA	NA	TRUE	BOW	no	lex	3-3	FOC	all	7	destroy.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall
destroy.bound3-3lex.PPMIno.LENGTHFOC.SOCPOSnav	1.653266118286581	0.11819641481194715	NA	NA	TRUE	BOW	no	lex	3-3	FOC	nav	7	destroy.bound3-3lex.PPMIselection.LENGTHFOC.SOCPOSall
